일자,종목명,기간 중 매수,,,기간 중 매도,,,매매비용,손익금액,수익률
,,수량,평균단가,매수금액,수량,평균단가,매도금액,,,
2026/02/03,TIGER 골드선물(H),2,29050,58100,0,0,0,0,0,0.00
2026/02/03,KODEX 코스피,2,52987,105975,0,0,0,0,0,0.00
2026/02/03,TIGER 200 건설,10,5993,59930,0,0,0,0,0,0.00
2026/02/03,KODEX 반도체,2,85900,171800,0,0,0,0,0,0.00
2026/02/03,SK텔레콤,0,0,0,1,72700,72700,162,17923,32.72
2026/02/02,TIGER 조선TOP10,2,29415,58830,20,28652,573045,159,17266,3.11
2026/02/02,KODEX AI전력핵심설비,2,27260,54520,11,26088,286975,76,21943,8.28
2026/02/02,PLUS K방산,0,0,0,2,67685,135370,34,16918,14.28
2026/02/02,HANARO 원자력iSelect,0,0,0,5,56887,284435,75,34875,13.97
2026/02/02,ACE KRX금현물,0,0,0,5,31040,155200,1690,9090,6.22
2026/02/02,TIGER 바이오TOP10,0,0,0,140,8835,1236965,319,41161,3.44
2026/02/02,TIGER 골드선물(H),0,0,0,4,28310,113240,1420,7716,7.31
2026/02/02,KODEX 필수소비재,0,0,0,30,8761,262850,70,6512,2.54
2026/02/02,TIGER 화장품,6,3763,22580,65,3732,242600,58,7700,3.28
2026/02/02,KODEX 코스피,2,51722,103445,0,0,0,0,0,0.00
2026/02/02,TIGER 200 건설,0,0,0,65,5846,380050,88,76815,25.33
2026/02/02,KODEX 반도체,0,0,0,4,82305,329220,84,55288,20.18
2026/02/02,SK텔레콤,0,0,0,1,69200,69200,154,14431,26.35
2026/01/30,TIGER 조선TOP10,0,0,0,5,29795,148975,35,10320,7.44
2026/01/30,KODEX AI전력핵심설비,4,28225,112900,0,0,0,0,0,0.00
2026/01/30,PLUS K방산,0,0,0,4,68225,272900,72,35992,15.19
2026/01/30,ACE KRX금현물,0,0,0,11,35359,388950,11055,60171,18.30
2026/01/30,TIGER 2차전지TOP10,0,0,0,26,10559,274545,72,16589,6.43
2026/01/30,TIGER 바이오TOP10,0,0,0,1,9270,9270,2,729,8.54
