일자,종목명,기간 중 매수,,,기간 중 매도,,,매매비용,손익금액,수익률
,,수량,평균단가,매수금액,수량,평균단가,매도금액,,,
2026/02/05,TIGER 일본니케이225,1,30215,30215,0,0,0,0,0,0.00
2026/02/05,TIGER 반도체,1,88590,88590,0,0,0,0,0,0.00
2026/02/05,TIME 글로벌탑픽액티브,2,11012,22025,0,0,0,0,0,0.00
2026/02/04,TIGER 미국S&P500동일가중,1,12145,12145,0,0,0,0,0,0.00
2026/02/04,TIGER 미국S&P500타겟데일리커버드콜,2,11770,23540,0,0,0,0,0,0.00
2026/02/04,SOL 미국테크TOP10,1,16225,16225,0,0,0,0,0,0.00
2026/02/04,ACE 미국빅테크TOP7 Plus,1,22480,22480,0,0,0,0,0,0.00
2026/02/04,KODEX 인도Nifty50,1,13980,13980,0,0,0,0,0,0.00
2026/02/04,KODEX 미국반도체,1,39205,39205,0,0,0,0,0,0.00
2026/02/04,RISE 미국S&P500,2,21720,43440,0,0,0,0,0,0.00
2026/02/04,RISE 미국나스닥100,2,27120,54240,0,0,0,0,0,0.00
2026/02/04,TIGER 2차전지TOP10,6,10455,62735,0,0,0,0,0,0.00
2026/02/04,TIGER 골드선물(H),1,30340,30340,0,0,0,0,0,0.00
2026/02/04,TIGER 일본니케이225,1,30400,30400,0,0,0,0,0,0.00
2026/02/03,TIGER 미국S&P500동일가중,1,12135,12135,0,0,0,0,0,0.00
2026/02/03,KODEX 인도Nifty50,1,13920,13920,0,0,0,0,0,0.00
2026/02/03,SOL 미국배당다우존스(H),0,0,0,10,11830,118300,4,13110,12.46
2026/02/03,TIGER 미국나스닥100(H),2,20317,40635,0,0,0,0,0,0.00
2026/02/03,RISE 미국S&P500,1,21880,21880,0,0,0,0,0,0.00
2026/02/03,TIGER 차이나항셍테크,0,0,0,99,8685,859815,56,-65131,-7.04
2026/02/03,RISE 미국나스닥100,1,27580,27580,0,0,0,0,0,0.00
2026/02/03,TIGER 리츠부동산인프라,1,4485,4485,0,0,0,0,0,0.00
2026/02/03,TIGER 골드선물(H),2,28862,57725,0,0,0,0,0,0.00
2026/02/03,KODEX 미국S&P500선물(H),1,30450,30450,0,0,0,0,0,0.00
2026/02/03,TIGER 반도체,2,90200,180400,0,0,0,0,0,0.00
2026/02/02,TIGER 미국S&P500동일가중,2,12010,24020,0,0,0,0,0,0.00
2026/02/02,TIGER 미국S&P500타겟데일리커버드콜,6,11729,70375,0,0,0,0,0,0.00
2026/02/02,SOL 미국테크TOP10,2,16287,32575,0,0,0,0,0,0.00
2026/02/02,ACE 미국빅테크TOP7 Plus,2,22527,45055,0,0,0,0,0,0.00
