일자,종목명,기간 중 매수,,,기간 중 매도,,,매매비용,손익금액,수익률
,,수량,평균단가,매수금액,수량,평균단가,매도금액,,,
2026/02/11,TIGER 미국테크TOP10 INDXX,1,29770,29770,0,0,0,0,0,0.00
2026/02/11,KODEX 미국나스닥100,2,24342,48685,0,0,0,0,0,0.00
2026/02/11,KODEX 미국S&P500,2,22932,45865,0,0,0,0,0,0.00
2026/02/11,TIGER 토탈월드스탁액티브,1,12415,12415,0,0,0,0,0,0.00
2026/02/09,TIGER 글로벌AI&로보틱스 INDXX,1,15290,15290,0,0,0,0,0,0.00
2026/02/09,TIGER 미국테크TOP10 INDXX,3,29781,89345,0,0,0,0,0,0.00
2026/02/09,KODEX 미국나스닥100,5,24397,121985,0,0,0,0,0,0.00
2026/02/09,KODEX 미국S&P500,5,23004,115020,0,0,0,0,0,0.00
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
