일자,종목명,기간 중 매수,,,기간 중 매도,,,매매비용,손익금액,수익률
,,수량,평균단가,매수금액,수량,평균단가,매도금액,,,
2026/02/09,신한지주,0,0,0,3,95300,285900,582,92485,47.82
2026/02/09,KT,0,0,0,3,58600,175800,358,23085,15.12
2026/02/06,KODEX 미국배당다우존스,0,0,0,20,12395,247906,6682,36375,17.20
2026/02/06,ACE KPOP포커스,0,0,0,62,11350,703730,47,-33103,-4.49
2026/02/06,SOL 미국배당다우존스(H),0,0,0,20,12165,243300,4808,25841,11.88
2026/02/06,TIGER 미국나스닥100(H),0,0,0,20,19095,381900,6646,36165,10.46
2026/02/06,PLUS 글로벌희토류&전략자원생산기업,0,0,0,2,8170,16340,0,-1970,-10.76
2026/02/06,ACE KRX금현물,0,0,0,10,31368,313685,2450,13345,4.44
2026/02/06,HPSP,0,0,0,3,43750,131250,267,29427,28.90
2026/02/06,SK리츠,0,0,0,30,5530,165900,337,14408,9.51
2026/02/06,KODEX 미국반도체,0,0,0,5,37735,188675,8277,45358,31.65
2026/02/06,KODEX 신재생에너지액티브,0,0,0,25,34266,856650,55,63015,7.94
2026/02/06,RISE 미국S&P500,6,21510,129060,0,0,0,0,0,0.00
2026/02/06,TIGER 차이나항셍테크,0,0,0,115,8599,988985,65,-79759,-7.46
2026/02/06,RISE 미국나스닥100,5,26438,132190,0,0,0,0,0,0.00
2026/02/06,TIGER 2차전지TOP10,0,0,0,28,9920,277760,18,-9253,-3.22
2026/02/06,TIGER 미국S&P500,3,24653,73960,0,0,0,0,0,0.00
2026/02/06,우리금융지주,0,0,0,7,31335,219350,445,48102,28.09
2026/02/06,KODEX 필수소비재,0,0,0,15,8790,131850,8,-1481,-1.11
2026/02/06,PLUS 고배당주,0,0,0,25,24175,604375,35,96794,19.07
2026/02/06,TIGER 증권,0,0,0,40,14475,579000,34,118582,25.76
2026/02/06,네오팜,0,0,0,5,19630,98150,201,-1040,-1.05
2026/02/06,KODEX 자동차,0,0,0,18,30010,540180,37,-9104,-1.66
